               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091157,            0.028337,            0.045958,            0.065948,             0.22877,            0.050115,            0.014525,            0.053192,            0.019981,            0.035355,              0.0004,              0.0004,              0.0964
                   1,            0.057357,            0.029445,            0.038514,              0.2612,             0.54837,             0.25597,             0.15084,            0.040979,            0.013906,            0.031741,          0.00080996,          0.00080996,             0.09271
                   2,            0.045892,            0.022045,            0.039537,             0.28044,             0.62305,             0.35188,             0.20064,            0.034957,            0.010768,            0.027943,           0.0012197,           0.0012197,             0.08902
                   3,            0.040306,            0.018797,            0.036067,             0.35701,             0.60814,             0.41136,             0.26394,             0.03242,           0.0094226,            0.024841,           0.0016292,           0.0016292,            0.085329
                   4,            0.044114,            0.017132,            0.032105,             0.43678,             0.63366,             0.49931,             0.34073,            0.027608,           0.0090923,            0.021654,           0.0020382,           0.0020382,            0.081638
                   5,            0.043648,            0.016274,            0.029723,             0.43976,             0.66634,             0.55644,             0.37276,            0.032727,           0.0081095,            0.019511,           0.0024466,           0.0024466,            0.077947
                   6,            0.039871,            0.015056,            0.027058,             0.49394,             0.82581,             0.64547,             0.45369,            0.027618,           0.0071489,            0.016234,           0.0028543,           0.0028543,            0.074254
                   7,            0.038933,            0.014327,            0.025975,              0.4346,             0.61985,             0.56089,             0.38316,            0.028701,           0.0071546,            0.017072,           0.0032611,           0.0032611,            0.070561
                   8,            0.038369,             0.01368,             0.02547,             0.57184,             0.79248,             0.66781,             0.47219,            0.025709,           0.0063791,            0.014488,           0.0036669,           0.0036669,            0.066867
                   9,            0.035257,            0.013092,            0.024064,             0.41826,             0.74484,             0.61218,             0.40552,            0.028847,           0.0070791,             0.01541,           0.0040716,           0.0040716,            0.063172
                  10,            0.032621,            0.012029,             0.02404,             0.43748,             0.86601,             0.66063,             0.46112,            0.029464,           0.0061208,            0.014894,           0.0044751,           0.0044751,            0.059475
                  11,             0.03269,            0.013051,            0.022932,             0.63114,             0.73848,             0.71506,             0.53105,            0.023777,           0.0059769,            0.012912,           0.0048771,           0.0048771,            0.055777
                  12,            0.036916,            0.013281,            0.023004,             0.56877,             0.57404,             0.61693,             0.43893,            0.028795,           0.0063924,            0.013829,           0.0052776,           0.0052776,            0.052078
                  13,            0.035085,            0.012226,            0.020924,             0.53861,             0.85109,             0.69642,             0.47044,            0.027771,           0.0070302,             0.01367,           0.0056764,           0.0056764,            0.048376
                  14,            0.035902,            0.013555,            0.023096,             0.49369,             0.50381,             0.47613,             0.34819,            0.033472,            0.011676,            0.029019,           0.0060735,           0.0060735,            0.044673
                  15,            0.032236,               0.013,            0.025182,             0.43514,             0.67449,              0.5688,             0.40241,            0.025738,           0.0072294,            0.023822,           0.0064686,           0.0064686,            0.040969
                  16,            0.033266,            0.012845,            0.022533,             0.49297,             0.77833,              0.6641,              0.5158,            0.027239,           0.0065981,            0.015537,           0.0068616,           0.0068616,            0.037262
                  17,            0.031877,            0.013364,            0.022087,             0.61293,             0.77161,             0.70734,             0.54543,            0.025928,           0.0066779,            0.016035,           0.0072525,           0.0072525,            0.033552
                  18,            0.035309,            0.014386,            0.025398,             0.51192,             0.76427,             0.68379,             0.51601,            0.024883,           0.0068837,            0.014797,            0.007641,            0.007641,            0.029841
                  19,            0.031487,            0.013573,            0.024112,             0.21561,             0.38359,             0.19381,            0.096848,            0.046662,            0.014949,            0.036026,           0.0080271,           0.0080271,            0.026127
                  20,            0.036088,            0.013308,            0.022657,             0.38329,             0.61364,             0.44096,             0.26799,            0.037198,            0.012351,            0.032465,           0.0084106,           0.0084106,            0.022411
                  21,            0.034906,            0.013974,            0.022419,             0.57506,              0.5516,             0.55835,             0.38174,            0.027457,           0.0084974,            0.017789,           0.0087914,           0.0087914,            0.018691
                  22,            0.034727,            0.013459,            0.023635,             0.31517,             0.48038,             0.25864,             0.16272,            0.035142,             0.01105,            0.036755,           0.0091694,           0.0091694,            0.014969
                  23,            0.034241,            0.015392,            0.026808,               0.315,             0.56282,             0.34192,             0.23449,            0.027857,            0.012391,            0.042082,           0.0095444,           0.0095444,            0.011244
                  24,            0.034771,            0.014185,            0.028464,             0.55793,             0.66086,             0.66743,             0.51145,            0.026309,           0.0068205,            0.015805,            0.009684,            0.009684,            0.009684
                  25,            0.032761,            0.014587,             0.02554,              0.4745,             0.65154,             0.59175,              0.4485,            0.027827,           0.0070714,            0.016924,            0.009684,            0.009684,            0.009684
                  26,            0.032319,            0.014378,            0.022071,             0.55769,             0.67336,             0.60561,             0.46821,             0.02267,           0.0076386,            0.026598,           0.0096575,           0.0096575,           0.0096575
                  27,            0.030437,            0.013811,            0.023767,             0.48539,             0.72534,             0.58444,             0.45185,            0.023327,           0.0082367,            0.026339,           0.0096299,           0.0096299,           0.0096299
                  28,            0.031082,            0.013673,            0.022669,             0.64746,             0.71901,             0.71273,             0.54282,            0.024638,           0.0062476,            0.010566,           0.0096013,           0.0096013,           0.0096013
                  29,            0.030326,            0.013052,            0.023166,             0.52109,             0.75343,             0.64806,             0.50898,            0.024902,           0.0071332,            0.016106,           0.0095717,           0.0095717,           0.0095717
                  30,            0.029407,            0.014061,            0.024562,              0.5272,             0.80529,             0.63859,             0.50724,            0.022022,           0.0065646,            0.022362,           0.0095411,           0.0095411,           0.0095411
                  31,            0.029465,            0.013794,            0.023708,              0.5909,             0.63389,             0.67506,             0.51942,            0.031384,           0.0071257,             0.01929,           0.0095095,           0.0095095,           0.0095095
                  32,            0.031833,            0.013705,            0.022854,             0.67742,             0.69857,             0.74063,             0.59127,            0.022022,           0.0069639,            0.016585,           0.0094769,           0.0094769,           0.0094769
                  33,            0.028145,            0.013276,            0.022138,             0.65355,             0.75075,             0.77425,             0.64091,            0.020279,            0.006334,            0.012346,           0.0094434,           0.0094434,           0.0094434
                  34,            0.030942,            0.015036,            0.021779,             0.51032,             0.78685,             0.66207,              0.5003,            0.024599,           0.0071904,            0.018816,           0.0094088,           0.0094088,           0.0094088
                  35,            0.027781,            0.013908,            0.024794,             0.57675,             0.68753,             0.66868,             0.51683,             0.02404,           0.0069488,            0.015425,           0.0093733,           0.0093733,           0.0093733
                  36,            0.029412,             0.01429,            0.022941,             0.59772,             0.77655,             0.70381,             0.53803,            0.022998,           0.0064435,            0.012954,           0.0093369,           0.0093369,           0.0093369
                  37,            0.028214,            0.013645,            0.021303,             0.64625,             0.72863,              0.7337,             0.59877,            0.020656,            0.006616,            0.011903,           0.0092995,           0.0092995,           0.0092995
                  38,            0.027138,            0.013377,            0.019196,             0.57797,             0.79174,             0.70178,             0.55997,                0.02,           0.0065418,             0.01878,           0.0092611,           0.0092611,           0.0092611
                  39,            0.027348,             0.01281,            0.024127,             0.56069,             0.75787,              0.6796,             0.55025,            0.019896,           0.0063934,            0.018778,           0.0092219,           0.0092219,           0.0092219
                  40,            0.027506,            0.012985,            0.024422,             0.52669,             0.83577,             0.69571,             0.57502,             0.01882,           0.0066012,            0.012623,           0.0091817,           0.0091817,           0.0091817
                  41,            0.026872,            0.013564,            0.020783,             0.60338,             0.82411,             0.72166,             0.59753,            0.019076,           0.0059162,            0.010964,           0.0091406,           0.0091406,           0.0091406
                  42,            0.025424,            0.013094,            0.017858,             0.68128,             0.78267,             0.76929,             0.64325,            0.019915,           0.0057481,            0.012485,           0.0090986,           0.0090986,           0.0090986
                  43,            0.027729,             0.01292,            0.016815,             0.67344,             0.73356,             0.78474,             0.65055,            0.019111,           0.0059478,            0.011763,           0.0090557,           0.0090557,           0.0090557
                  44,            0.025654,            0.013317,            0.019826,             0.70423,             0.66133,             0.67548,             0.52947,            0.022527,           0.0062648,            0.018802,           0.0090119,           0.0090119,           0.0090119
                  45,            0.024548,            0.013021,             0.02267,             0.65039,             0.76562,             0.75299,             0.63193,            0.017866,            0.006381,            0.016392,           0.0089673,           0.0089673,           0.0089673
                  46,            0.026519,            0.012833,            0.023228,              0.6133,              0.6874,             0.74064,             0.61782,             0.01925,            0.005761,            0.013857,           0.0089218,           0.0089218,           0.0089218
                  47,            0.027242,            0.012821,            0.019969,             0.58575,             0.71314,             0.72159,             0.59144,            0.019084,           0.0058145,            0.018303,           0.0088755,           0.0088755,           0.0088755
                  48,            0.024315,            0.013639,            0.019829,             0.66781,             0.70602,             0.75359,             0.61979,            0.018327,            0.006273,            0.010305,           0.0088283,           0.0088283,           0.0088283
                  49,            0.024781,            0.012241,            0.024098,             0.59947,             0.72747,             0.74774,             0.62237,            0.018039,           0.0061636,             0.01237,           0.0087804,           0.0087804,           0.0087804
                  50,            0.024195,            0.012712,            0.022631,             0.63261,             0.83147,             0.79027,             0.67665,            0.018125,           0.0055188,           0.0088846,           0.0087316,           0.0087316,           0.0087316
                  51,            0.023086,            0.011828,            0.020286,             0.71464,             0.83003,             0.81989,             0.67564,            0.018543,            0.005587,           0.0088725,            0.008682,            0.008682,            0.008682
                  52,            0.024458,            0.012189,            0.017317,             0.62898,             0.82874,             0.77994,             0.65848,            0.017808,           0.0054084,            0.010418,           0.0086316,           0.0086316,           0.0086316
                  53,            0.024889,             0.01207,            0.019129,             0.64797,             0.81397,             0.79881,             0.68596,            0.018147,           0.0057296,           0.0096518,           0.0085805,           0.0085805,           0.0085805
                  54,             0.02412,            0.011934,            0.019324,              0.6137,             0.80305,             0.74915,             0.63872,            0.018358,           0.0061522,            0.012162,           0.0085286,           0.0085286,           0.0085286
                  55,             0.02427,            0.012016,            0.018365,             0.70229,             0.80305,             0.78591,             0.68063,            0.017354,            0.005959,            0.013197,           0.0084759,           0.0084759,           0.0084759
                  56,            0.022535,            0.011946,            0.016767,             0.70112,             0.74194,             0.77453,             0.66239,            0.016988,             0.00547,           0.0090282,           0.0084225,           0.0084225,           0.0084225
                  57,             0.02416,            0.011447,            0.018265,             0.71977,             0.77085,             0.81435,             0.70009,            0.017413,           0.0057076,           0.0075145,           0.0083684,           0.0083684,           0.0083684
                  58,            0.022344,            0.011474,            0.015882,             0.62975,             0.84541,             0.75802,             0.66634,            0.020422,           0.0055122,            0.017988,           0.0083136,           0.0083136,           0.0083136
                  59,            0.022908,            0.011635,            0.018265,             0.62029,              0.7557,              0.7294,             0.61887,            0.018841,           0.0060828,            0.016934,           0.0082581,           0.0082581,           0.0082581
                  60,            0.021347,            0.011639,            0.018668,             0.62321,              0.8021,             0.72994,               0.611,            0.017665,           0.0057553,            0.011879,           0.0082019,           0.0082019,           0.0082019
                  61,            0.023519,            0.012776,            0.021179,             0.59118,             0.75321,             0.72882,             0.63509,            0.018426,           0.0056918,            0.013159,            0.008145,            0.008145,            0.008145
                  62,            0.020769,            0.011442,            0.018818,             0.73119,             0.76231,             0.81675,             0.70576,             0.01759,           0.0055988,           0.0086035,           0.0080875,           0.0080875,           0.0080875
                  63,            0.022327,            0.011765,            0.018707,             0.70229,              0.7744,              0.8103,             0.70302,            0.017636,           0.0056987,           0.0088618,           0.0080294,           0.0080294,           0.0080294
                  64,            0.022398,            0.011859,             0.01988,             0.62444,             0.78618,             0.77688,             0.66898,            0.016068,           0.0056735,             0.01051,           0.0079706,           0.0079706,           0.0079706
                  65,            0.022327,            0.011805,            0.017227,             0.71641,             0.71977,             0.77851,             0.68211,            0.016626,           0.0057083,            0.009319,           0.0079112,           0.0079112,           0.0079112
                  66,            0.019973,            0.011574,            0.015638,             0.75318,             0.77573,             0.81762,             0.71641,              0.0165,           0.0054928,           0.0072982,           0.0078512,           0.0078512,           0.0078512
                  67,            0.020444,            0.010901,             0.01552,             0.74777,             0.80383,             0.82668,             0.72468,            0.018714,           0.0051783,            0.010787,           0.0077907,           0.0077907,           0.0077907
                  68,            0.022871,            0.011914,            0.015568,             0.68563,             0.76583,             0.81038,             0.69676,            0.018722,           0.0054151,            0.010213,           0.0077296,           0.0077296,           0.0077296
                  69,            0.022029,            0.011647,            0.016537,             0.61475,             0.79466,             0.78382,             0.68297,            0.016935,           0.0053874,            0.021471,           0.0076679,           0.0076679,           0.0076679
                  70,            0.021442,            0.010533,            0.017155,             0.58516,             0.78957,             0.75282,             0.64239,            0.018808,           0.0057154,            0.012633,           0.0076057,           0.0076057,           0.0076057
                  71,            0.023559,            0.012028,            0.018251,             0.64584,             0.78865,             0.78449,             0.68683,            0.019719,           0.0056702,            0.013571,            0.007543,            0.007543,            0.007543
                  72,            0.023661,            0.011734,            0.017446,             0.66286,             0.84877,             0.81415,             0.69434,            0.016412,           0.0057655,            0.012791,           0.0074797,           0.0074797,           0.0074797
                  73,            0.021147,            0.011339,            0.017066,             0.74236,             0.81188,             0.85077,             0.74011,            0.015968,           0.0053769,           0.0099835,            0.007416,            0.007416,            0.007416
                  74,             0.01923,            0.010303,            0.015372,             0.75482,             0.84569,             0.86759,             0.76413,            0.016785,           0.0053011,           0.0074671,           0.0073518,           0.0073518,           0.0073518
                  75,            0.019711,            0.011504,            0.014353,              0.8091,             0.70677,             0.83161,             0.73552,            0.017223,           0.0053254,            0.012598,           0.0072872,           0.0072872,           0.0072872
                  76,            0.019894,            0.010559,             0.01513,             0.71953,             0.79369,             0.85331,              0.7557,            0.016765,             0.00518,            0.011903,           0.0072221,           0.0072221,           0.0072221
                  77,            0.020496,            0.011557,             0.01351,             0.75585,             0.77229,             0.86042,             0.78267,            0.015534,           0.0049023,            0.016292,           0.0071566,           0.0071566,           0.0071566
                  78,             0.02005,            0.010589,            0.015591,             0.76856,             0.84812,             0.88723,             0.78734,            0.015472,           0.0050244,            0.013561,           0.0070906,           0.0070906,           0.0070906
                  79,            0.018782,             0.01052,            0.012647,             0.80775,             0.82211,             0.87324,             0.77699,            0.015766,           0.0051767,             0.00582,           0.0070243,           0.0070243,           0.0070243
                  80,            0.018845,            0.010653,            0.013065,             0.73359,             0.82835,             0.83534,             0.75417,            0.017359,           0.0053048,           0.0053118,           0.0069576,           0.0069576,           0.0069576
                  81,            0.021362,            0.010651,            0.014752,             0.81571,             0.82363,             0.87165,             0.78131,            0.016338,           0.0051187,           0.0062042,           0.0068906,           0.0068906,           0.0068906
                  82,            0.018149,            0.010056,            0.013833,             0.73822,             0.87938,             0.88934,             0.79173,            0.015647,           0.0051274,           0.0059478,           0.0068232,           0.0068232,           0.0068232
                  83,            0.019009,            0.010327,            0.013987,             0.74621,             0.83545,             0.87738,             0.78493,            0.016176,            0.005242,           0.0075821,           0.0067555,           0.0067555,           0.0067555
                  84,            0.019204,            0.010244,            0.014256,             0.73852,             0.76711,             0.84932,             0.76294,            0.016355,           0.0052252,           0.0095022,           0.0066874,           0.0066874,           0.0066874
                  85,            0.019597,            0.010668,            0.016869,             0.70912,             0.88103,             0.85345,             0.76092,            0.016189,           0.0054621,            0.012559,           0.0066191,           0.0066191,           0.0066191
                  86,             0.01895,             0.01079,             0.01297,             0.76926,             0.82499,             0.87215,             0.78395,            0.015631,           0.0051468,            0.010095,           0.0065505,           0.0065505,           0.0065505
                  87,            0.019084,            0.010063,             0.01415,             0.75356,              0.8614,             0.86275,             0.76475,            0.016559,           0.0053474,           0.0051579,           0.0064816,           0.0064816,           0.0064816
                  88,            0.018456,            0.010026,            0.013996,             0.76786,             0.82419,             0.87151,             0.76792,            0.017635,           0.0053877,            0.005545,           0.0064125,           0.0064125,           0.0064125
                  89,             0.01716,           0.0099123,            0.010616,             0.77749,             0.80492,             0.89266,             0.79782,            0.016073,            0.005252,             0.01292,           0.0063432,           0.0063432,           0.0063432
                  90,            0.017521,           0.0098999,             0.01507,             0.78343,             0.78452,             0.86779,             0.77909,            0.015817,           0.0052505,            0.012861,           0.0062737,           0.0062737,           0.0062737
                  91,             0.01939,            0.010723,            0.016504,             0.81965,             0.83223,             0.89701,             0.79473,            0.016618,           0.0053779,           0.0047897,            0.006204,            0.006204,            0.006204
                  92,             0.01791,            0.010103,            0.016743,             0.71293,             0.86022,             0.88223,              0.7863,            0.016426,            0.005542,           0.0093043,           0.0061341,           0.0061341,           0.0061341
                  93,            0.019508,            0.010553,            0.015868,             0.64413,             0.80913,             0.79905,             0.71137,            0.016689,            0.005501,           0.0082025,            0.006064,            0.006064,            0.006064
                  94,            0.020402,            0.010418,            0.013525,             0.71029,             0.81229,             0.81948,             0.73061,            0.015749,           0.0054591,           0.0072721,           0.0059938,           0.0059938,           0.0059938
                  95,            0.018853,            0.010352,            0.013146,             0.77595,             0.79784,              0.8762,             0.78727,            0.014818,           0.0050524,            0.012021,           0.0059235,           0.0059235,           0.0059235
                  96,            0.019608,            0.011091,            0.011186,             0.75565,             0.83768,             0.87324,             0.78263,            0.014482,           0.0048818,            0.014668,           0.0058531,           0.0058531,           0.0058531
                  97,            0.017253,           0.0099353,            0.014448,              0.8496,             0.80669,             0.88829,              0.8003,            0.014783,            0.005458,             0.00775,           0.0057826,           0.0057826,           0.0057826
                  98,            0.017048,            0.010315,            0.013614,             0.78848,             0.84699,             0.87981,             0.79573,            0.014813,           0.0052684,           0.0076563,            0.005712,            0.005712,            0.005712
